NP1,,,NP2,,,NP3,,,17-4,,,12-2,,,12-2 from 516 s,,,12-3,,,13-5,,
Time (s),V (nm3),,Time (s),V (nm3),,Time (s),V (nm3),,Time (s),V (nm3),,Time (s),Volume (nm3),,Time (s),Volume (nm3),,Time (s),Volume (nm3),,Time (s),Volume (nm3),
0,473966,1,0,939844,1,0,496973,1,0,242762.6,1,0,187906,1,0,187611.1,1,0,201150.8,1,0,200567.4,1
75.4127,439079,0.926393454,71.4474,902300,0.960052945,79.4734,482949,0.971781163,273,166236.9,0.68477146,129.4968,189713.5,1.009619171,131.15,186414,0.993619247,128.4562078,201128.4,0.999888641,104.2412553,197455.7,0.984485515
152.0567,417244,0.880324749,142.2814,870050,0.92573874,248.0674,406509,0.81796999,456,138443.9,0.570285126,257.0768,187623.8,0.998498185,262.37,185022.3,0.986201243,254.1682708,179619.5,0.892959412,207.5168197,193765.4,0.966086213
226.8967,392265,0.827622656,213.4414,792106,0.842805827,330.6514,362963,0.730347524,578.93164,127960,0.527099314,388.0368,187873.4,0.999826509,392.4,182594.8,0.973262243,380.6272998,113133.2,0.562429779,312.9140916,186990.2,0.932306048
303.8767,356919,0.753047687,285.7014,737194,0.78437911,491.3425,297437,0.598497303,697.66764,116040.8,0.478001142,516.0468,187611.1,0.998430598,522.69,180181,0.960396267,509.1196074,56021.4,0.278504485,414.3078353,179081.7,0.892875412
378.4567,328527,0.693144656,359.7814,665073,0.707641907,567.3674,261014,0.525207607,820.14465,102250.5,0.421195439,647.1968,186414,0.99205986,652.39,175731.6,0.936680186,,,,517.8657811,166517.7,0.830233129
454.7067,309439,0.652871725,433.1714,611743,0.650898447,642.5584,219344,0.441359993,953.28672,99978,0.411834442,778.4168,185022.3,0.984653497,782.79,171798.9,0.915718206,,,,616.3217084,158367.3,0.789596415
529.6067,289020,0.609790576,508.6514,526276,0.559961015,722.0384,176848,0.355850318,1090.73189,95005.9,0.391353116,908.4468,182594.8,0.971734804,909.49,165207.7,0.880585957,,,,720.9388847,143222.9,0.714088631
605.7767,262083,0.552957385,579.8614,471954,0.502162061,797.8084,142633,0.287003519,1223.81454,85789,0.353386395,1038.7368,180181,0.958889019,1041.29,162806.6,0.867787674,,,,824.6060386,136118,0.678664628
679.9367,266189,0.561620454,652.8314,459279,0.48867578,877.4184,115448,0.232302358,1345.89744,83446.3,0.343736226,1168.4368,175731.6,0.935210158,1173.59,160807.6,0.857132654,,,,926.809226,128594.6,0.641154046
754.8167,236541,0.499067444,724.7314,437227,0.465212312,953.3884,76556,0.154044586,1468.82539,80597.7,0.332002129,1298.8368,171798.9,0.914281077,1303.89,158026.7,0.84230997,,,,1026.11319,122295.6,0.609748145
830.8967,220283,0.464765405,798.7814,435210,0.463066211,1032.4484,53412,0.107474652,1594.26906,74772.3,0.308005846,1425.5368,165207.7,0.879203964,1432.89,156990.9,0.836788975,,,,1129.260037,116357.2,0.580140142
907.1367,201595,0.425336417,870.2914,408908,0.435080716,1109.4584,32335,0.065063897,1712.49716,71406.2,0.294140036,1557.3368,162806.6,0.866425766,1563.89,154860.3,0.825432504,,,,1230.939792,113080.5,0.563802991
982.1367,187847,0.396330117,942.5014,347288,0.369516643,,,,1833.0204,70360.6,0.289832948,1689.6368,160807.6,0.855787468,1692.99,152501.1,0.812857555,,,,1335.406484,108044.4,0.538693726
1058.2167,181508,0.382955739,1013.3214,314786,0.334934308,,,,1952.30777,66642.7,0.274517986,1819.9368,158026.7,0.840988047,1822.39,151459.4,0.807305111,,,,1438.206672,104928.6,0.523158798
1133.4167,168003,0.354462134,1086.2214,284998,0.303239687,,,,2074.4185,63627.2,0.262096386,1948.9368,156990.9,0.835475717,1953.29,150076,0.799931347,,,,1543.472493,101614.9,0.50663717
1210.3167,157941,0.333232764,1158.5214,219892,0.233966488,,,,,,0,2079.9368,154860.3,0.824137069,2083.59,147329.8,0.785293621,,,,1645.514466,97818,0.487706377
1285.0167,148495,0.313303064,1231.8214,198620,0.211332945,,,,,,0,2209.0368,152501.1,0.811581855,2213.59,145207.9,0.773983522,,,,1748.902012,94474.8,0.471037666
1364.3167,,0,1305.0214,159433,0.169637727,,,,,,0,2338.4368,151459.4,0.806038125,2341.09,143714.9,0.766025571,,,,1850.567084,91132,0.45437095
,,0,1379.7214,97393,0.103626772,,,,,,0,2469.3368,150076,0.798675934,2469.59,142301.3,0.758490836,,,,1957.701451,88997,0.443726149
,,0,1453.4214,79824,0.084933244,,,,,,0,2599.6368,147329.8,0.78406118,,,,,,,,,0
,,,,,,,,,,,,2729.6368,145207.9,0.772768831,,,,,,,,,0
,,,,,,,,,,,,2857.1368,143714.9,0.764823369,,,,,,,,,0
,,,,,,,,,,,,2985.6368,142301.3,0.757300459,,,,,,,,,0
